"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",0.0631242232861179,0.995180590434339,-1.88438395425766,-0.611861097021071,0.0683943829719,0.733367319205877,2.00627111614387,1.00001390421224,3e+05,1,0.526943333333333,"gamma0",1,1
"gamma01",0.0627286536801423,1.00473062857503,-1.90280831618148,-0.613483944814986,0.0644055144550732,0.738546048942461,2.0322135475423,1.00001260071849,118130,1,0.525543333333333,"gamma0",2,1
"gamma02",0.0102273890899135,0.999265814880121,-1.93279942954775,-0.667027834389627,0.00520310283660713,0.683566875655141,1.97662705945023,1.00079879576889,2610,1,0.50215,"gamma0",3,1
"gamma03",0.0212582322688067,0.998310142934689,-1.92681551861346,-0.652460778711924,0.0195315008291427,0.693293895628193,1.98415457009395,1.00006088624262,30611,1,0.507816666666667,"gamma0",4,1
"gamma04",0.046598241951778,0.992036313079374,-1.89245862732338,-0.623525051773487,0.0472002890981446,0.714328197425843,1.9991199876388,1.0000414299822,90162,1,0.51881,"gamma0",5,1
"gamma05",0.0441038753798043,1.00628620370058,-1.93746153722311,-0.633249092492453,0.0444811243270373,0.722890408263194,2.00999863418023,1.0001098853852,23540,1,0.517543333333333,"gamma0",6,1
"gamma06",0.0547141263503796,0.992817405661238,-1.8942939568726,-0.610088031234257,0.0541732274306919,0.719725793475986,2.00491507571319,1.00006813693052,34655,1,0.52211,"gamma0",7,1
"gamma07",0.0635635895269999,0.996845664982733,-1.88651028055067,-0.610287834700272,0.0602022671738046,0.737037211572906,2.01912490389663,1.00002836973275,78071,1,0.523756666666667,"gamma0",8,1
"gamma08",0.0703354686872539,1.00052327776159,-1.8895925962101,-0.60350382079355,0.0688867722023047,0.740694401559626,2.03522013260453,1.00001224469776,246754,1,0.527583333333333,"gamma0",9,1
"gamma09",0.0728112539186128,0.998424680007566,-1.87269978834717,-0.603445331075304,0.0704434516460161,0.743859707635459,2.03963745430103,1.00006198035987,30712,1,0.52802,"gamma0",10,1
