"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma1",1.92778468003227,2.10988444062004,-1.06492838342333,0.28626047364691,1.58025292003554,3.21981349742044,6.77981708261587,1.01061415993077,200,1,0.807013333333333,"gamma1",1,1
"gamma11",1.92569701032499,0.689011602061231,0.573243727794247,1.46164191759865,1.92568874027151,2.39034034385636,3.27681428309753,1.0000628206209,236726,0,0.99742,"gamma1",2,1
"gamma12",1.57473886904071,1.51176669662625,-1.57039600710589,0.696439311160103,1.73097590877805,2.62278595276678,4.23198086800471,1.01783503407627,164,1,0.8369,"gamma1",3,1
"gamma13",1.59283505504563,0.795562079224266,0.0687316251348608,1.04226808947557,1.58433259426502,2.13054798591775,3.17250339693163,1.00003637639301,3e+05,0,0.980366666666667,"gamma1",4,1
"gamma14",1.67885380063696,1.04167919404206,-0.230197125504854,0.932675145450962,1.6500828861618,2.38107166607525,3.79523864843911,1.00019794763202,12315,1,0.951956666666667,"gamma1",5,1
"gamma15",1.66461526008773,0.999410231862448,-0.3706411795542,1.00765053035675,1.67603956241089,2.33714906345986,3.6092152514407,1.00175008727388,1703,1,0.946856666666667,"gamma1",6,1
"gamma16",1.70442906904414,0.957825408269299,-0.0853424683975295,1.02800680292679,1.68687179036141,2.35091071805898,3.6274134286255,1.00158300460894,1758,1,0.967356666666667,"gamma1",7,1
"gamma17",1.75106610405706,0.976215218768829,-0.0570427116340398,1.05952476030754,1.72554565154352,2.41059833712331,3.72324915948079,1.00006010169333,130432,1,0.970096666666667,"gamma1",8,1
"gamma18",1.77426867137022,0.986211895350478,-0.113886896167908,1.09253018614557,1.76389247585525,2.4398972753537,3.737189688115,1.00071214995804,3646,1,0.966096666666667,"gamma1",9,1
"gamma19",1.7726615314415,1.00417583283184,-0.206332472454931,1.09117978481254,1.77159474114909,2.45495263082413,3.7421866893264,1.00135114809003,2458,1,0.95839,"gamma1",10,1
"gamma110",1.92963863036369,2.05152087804096,-0.95149464689659,0.348190705501276,1.58207278916335,3.13517150874312,6.78905868579299,1.00879060949702,234,1,0.823643333333333,"gamma1",1,2
"gamma111",1.93428306136546,0.694848773683671,0.571772975539217,1.46421858593852,1.93538068844007,2.40424316730996,3.29512479989918,1.00004499062691,77594,0,0.997796666666667,"gamma1",2,2
"gamma121",1.98382446851323,1.14691415731793,-0.138114580791058,1.17058652727232,1.9550696720384,2.75748998106156,4.3084252419084,1.00007756566221,31644,1,0.963783333333333,"gamma1",3,2
"gamma131",1.96958178940617,0.942833943053006,0.103829703132618,1.33497701339903,1.96912392064324,2.6062045890357,3.81702323794716,1.00207772141544,1771,0,0.98056,"gamma1",4,2
"gamma141",1.99067029772232,1.00550228066747,0.0610811537248903,1.29701122381284,1.98512733939756,2.66992610046765,3.98628906692786,1.00006362597866,70188,0,0.979046666666667,"gamma1",5,2
"gamma151",2.01055181289829,0.979849276625056,0.119492621453574,1.34130477444129,2.00259012211675,2.67199116011494,3.95008426073704,1.00082633028084,5637,0,0.981146666666667,"gamma1",6,2
