"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma1",0.00997411511454477,3.16410555497817,-6.18576630509768,-2.11900388344884,0.00975460689972757,2.14551996756865,6.2096377689401,1.00000462779675,3e+05,1,0.501266666666667,"gamma1",1,6
"gamma11",0.00920125276631095,0.561819629219186,-1.09098673654086,-0.370323056949312,0.00950002959918575,0.389348292387851,1.10881878739537,1.00000444736694,3e+05,1,0.506783333333333,"gamma1",2,6
"gamma12",0.010988633162263,1.33620203852281,-2.60160902542825,-0.891789374090182,0.0105918930376288,0.912809308221892,2.6300749222949,1.00000879383933,3e+05,1,0.503386666666667,"gamma1",3,6
"gamma13",0.0110611758288559,0.865453225685619,-1.6921380390107,-0.571935482045467,0.0134678872188529,0.594719698688123,1.70495598832368,1.00001222969027,183519,1,0.506053333333333,"gamma1",4,6
"gamma14",0.0126535401717378,1.07429741309108,-2.08803962932005,-0.714252792649837,0.0113687483443533,0.736568053920541,2.1198187569593,1.00000191625309,3e+05,1,0.50419,"gamma1",5,6
"gamma15",0.015378061401118,0.965014508443213,-1.88018225974603,-0.635411396473102,0.0146575730015045,0.665247124876858,1.90898575786306,1.00000992962685,163447,1,0.506253333333333,"gamma1",6,6
"gamma16",0.0177868305055347,1.01944232537609,-1.97453510156131,-0.668545795057982,0.0192945314220537,0.704380246251382,2.01486531061529,1.00000257398829,3e+05,1,0.507626666666667,"gamma1",7,6
"gamma17",0.0195700910109292,0.990187800173043,-1.92223517078349,-0.648479066741295,0.0195001570839597,0.687795913796964,1.96186447150229,1.00000476162105,3e+05,1,0.50791,"gamma1",8,6
"gamma18",0.0183317801269827,1.00565955284944,-1.95089077654426,-0.660083326837107,0.0199699983517526,0.697138545866131,1.98785157697945,1.00000697301265,3e+05,1,0.507846666666667,"gamma1",9,6
"gamma19",0.0165084349868613,0.997405712636394,-1.94224952158831,-0.657753177648879,0.014415631625027,0.688038749971532,1.97061256901228,0.999995061631242,3e+05,1,0.505523333333333,"gamma1",10,6
"gamma110",-0.00221995435236577,3.16082124804767,-6.21467206832577,-2.13870954892937,0.00598496906600299,2.12600115166197,6.18881970083538,1.00000535791879,3e+05,1,0.499266666666667,"gamma1",1,7
"gamma111",-0.000711496292043089,0.562962744548307,-1.10171772724169,-0.38064358657131,-0.000571785286684886,0.378537178936201,1.10604078817641,1.00000948511766,3e+05,1,0.50037,"gamma1",2,7
"gamma121",-7.8760240844012e-05,1.33125169147959,-2.60414037577693,-0.900204302291917,0.00187722125966247,0.896912010662726,2.60612272807509,1.00000694917644,240749,1,0.499416666666667,"gamma1",3,7
"gamma131",0.000892845826478938,0.865482641465152,-1.69291577398439,-0.584076429457336,-0.000209851708056565,0.585908545802571,1.70093335526766,0.999996157398618,3e+05,1,0.499893333333333,"gamma1",4,7
"gamma141",-0.001666993516408,1.0751734682802,-2.10950856411643,-0.726155607280019,-0.00259923311657476,0.723104841997875,2.1048512077213,1.00000623349247,193386,1,0.501016666666667,"gamma1",5,7
"gamma151",-0.000959950781910822,0.962108835023241,-1.88727689842317,-0.652215113851439,-0.000735308936258429,0.648473471864635,1.88405438359657,0.999998540422179,3e+05,1,0.5003,"gamma1",6,7
"gamma161",0.0018292785370306,1.02062258307415,-1.99781378007329,-0.687977563494573,0.000855294650370523,0.690929123343911,2.00177630072475,1.00000143885892,3e+05,1,0.50031,"gamma1",7,7
"gamma171",-0.00098565455552105,0.9907518329979,-1.94234696869411,-0.669162572208825,-0.00277870499955123,0.666691582763994,1.93658585749717,1.00003701159535,49934,1,0.501086666666667,"gamma1",8,7
"gamma181",-0.00203774613665253,1.00240415245266,-1.96189345099863,-0.679415935606899,-0.0013943323090192,0.674150161830512,1.9590344278294,1.00000115678054,3e+05,1,0.500606666666667,"gamma1",9,7
"gamma191",-0.00159219769637102,0.998131265388091,-1.95590549013052,-0.675981112049888,-0.00094331734296689,0.669700639624872,1.95883928588437,1.00000995093766,135290,1,0.500343333333333,"gamma1",10,7
"gamma112",0.00283383663190528,3.15896100638752,-6.18725190622253,-2.13577164333518,0.00187672160873508,2.13662391429017,6.19110330437644,1.00002160961636,130635,1,0.500263333333333,"gamma1",1,8
"gamma113",0.00309920848579103,0.562905942230694,-1.09900903135525,-0.377524916455011,0.00180989648597071,0.382581179282669,1.10986278118073,1.0000235920512,97328,1,0.501293333333333,"gamma1",2,8
"gamma122",-7.88243415568656e-05,1.33079819646247,-2.61321543180925,-0.896892643338014,0.00034872663734039,0.900159046476572,2.60426914822078,1.00000467920662,3e+05,1,0.49988,"gamma1",3,8
"gamma132",0.00329731795802433,0.865829332687994,-1.69291534227091,-0.581400044478108,0.00654477459119917,0.586244970807714,1.70238141253363,1.00000020460175,3e+05,1,0.503183333333333,"gamma1",4,8
"gamma142",0.00660429867165028,1.07309572505281,-2.09178751902184,-0.716978349760604,0.00533856413304477,0.731070020345791,2.1074794224437,0.999996398044021,3e+05,1,0.502006666666667,"gamma1",5,8
"gamma152",0.00553966045648271,0.964489023850764,-1.88129141226653,-0.646051184020763,0.00658320962285869,0.655315252721965,1.89815349168992,1.00000922727347,222973,1,0.50263,"gamma1",6,8
"gamma162",0.00558242207119333,1.01844293535151,-1.99110937660073,-0.682139862590021,0.00499865176836889,0.692158484160463,2.00655316398471,1.0000028358481,257627,1,0.501986666666667,"gamma1",7,8
"gamma172",0.00365329817931776,0.992189843545092,-1.94270361855717,-0.663866804456164,0.00308505544203073,0.674403621817597,1.9396500807833,1.00000625668177,3e+05,1,0.501263333333333,"gamma1",8,8
"gamma182",0.00501436141397451,1.00590774859068,-1.96715394474256,-0.671390299627927,0.00341686062825821,0.684047605769141,1.97941565636025,0.999999451675659,3e+05,1,0.50136,"gamma1",9,8
"gamma192",0.00240440318160299,0.997722170488335,-1.95796909261865,-0.670518368869818,0.00205244175652781,0.676125422950059,1.96076913313129,1.00000357787538,278242,1,0.500823333333333,"gamma1",10,8
"gamma114",-0.00938856186753869,3.16381624588281,-6.19856212295026,-2.14358754672596,-0.0114597657563309,2.12692486463206,6.19238874476322,0.999997461070478,3e+05,1,0.501416666666667,"gamma1",1,9
"gamma115",-0.0105722580271361,0.562060601534906,-1.10582180532399,-0.390694186615375,-0.0114377032300883,0.369084286951308,1.09407856860199,0.999998957510048,3e+05,1,0.508243333333333,"gamma1",2,9
"gamma123",-0.00674496006444093,1.33530434211747,-2.62116242274426,-0.906819855782992,-0.00603548378181945,0.893417401906942,2.60835362979973,1.00000146563453,3e+05,1,0.50173,"gamma1",3,9
"gamma133",-0.00823291753115676,0.866275241752272,-1.70562420416325,-0.590081050219697,-0.00832722227037097,0.573041563818173,1.69596948772891,1.00000254172502,3e+05,1,0.503976666666667,"gamma1",4,9
"gamma143",-0.0122864616022848,1.07819024848917,-2.12262369947253,-0.738854248169458,-0.0146102435074441,0.713136751504902,2.10749931918301,1.00001012300262,132951,1,0.50546,"gamma1",5,9
"gamma153",-0.0111162112126544,0.962672510247052,-1.8945021376568,-0.662087451266748,-0.012198361156721,0.638268881263954,1.87485709412379,1.00000001956166,3e+05,1,0.505106666666667,"gamma1",6,9
"gamma163",-0.00909956717361639,1.01785805716864,-2.00773949522291,-0.69109052369982,-0.00795199827598157,0.676382756516329,1.9804710509926,1.00001650087848,106154,1,0.50326,"gamma1",7,9
"gamma173",-0.00418423768403682,0.991086251234113,-1.94457863609067,-0.676467497699357,-0.00511386961301935,0.665814930027433,1.93907820514416,0.999996568264734,3e+05,1,0.50216,"gamma1",8,9
"gamma183",-0.00598000165920901,1.00454574899424,-1.97505675117266,-0.682088728680854,-0.00645706849070236,0.672248403358661,1.96315804544706,0.99999624944289,3e+05,1,0.502456666666667,"gamma1",9,9
"gamma193",-0.00614961673607186,0.996255115396268,-1.9583807894206,-0.67780787656162,-0.00720647891649634,0.667363683102913,1.94497516039933,0.999998935410434,3e+05,1,0.50286,"gamma1",10,9
"gamma116",0.00312549041942598,3.15808259284785,-6.1823859794448,-2.12738342189117,0.00614861418722342,2.13428775109404,6.19939565420576,1.00000051132287,3e+05,1,0.500826666666667,"gamma1",1,10
"gamma117",0.00190226830928649,0.562981878157367,-1.1011551071291,-0.376623839599855,0.00144993235013477,0.382253287873777,1.10386544203633,1.00000164218305,3e+05,1,0.50106,"gamma1",2,10
"gamma124",0.000858155314446959,1.33451294288662,-2.61254677035694,-0.900306486426029,0.000571845105310745,0.900969469483923,2.61634160082562,1.00000132717819,3e+05,1,0.50018,"gamma1",3,10
"gamma134",0.00195853461261891,0.865526612117205,-1.69787311937354,-0.58165648593704,0.00245203593232463,0.58585422029509,1.69746027501575,0.999999783852747,3e+05,1,0.501173333333333,"gamma1",4,10
"gamma144",0.00345336616250495,1.07555271974861,-2.10880245281646,-0.722820798680872,0.00399512198931006,0.728261167827139,2.11077902501884,1.00000348376047,3e+05,1,0.501423333333333,"gamma1",5,10
"gamma154",0.00243022800243896,0.962224906876767,-1.88497036767019,-0.645873427595754,0.00079067690388191,0.652628639066203,1.88371697201385,1.00001181772323,3e+05,1,0.500263333333333,"gamma1",6,10
"gamma164",6.37542425303081e-05,1.01857392046352,-1.99159649279697,-0.687047564418314,0.00124982246005034,0.685654915612906,1.99839537320632,1.0000093126815,3e+05,1,0.50053,"gamma1",7,10
"gamma174",0.00284642620449498,0.991947018446004,-1.94168962291727,-0.665157402754857,0.00414573785077059,0.673255374852818,1.94401664628265,1.00000194460377,3e+05,1,0.501636666666667,"gamma1",8,10
"gamma184",0.00252417670397239,1.00634860482371,-1.97124307284029,-0.675460440269494,0.0047329352746431,0.68085366154372,1.97213979716591,1.00001908090744,87233,1,0.50197,"gamma1",9,10
"gamma194",-0.000212081811113916,0.996170037405101,-1.9519000955333,-0.671939147783838,0.000783747826794131,0.671681792064665,1.95161717401134,1.00003327564458,65083,1,0.499703333333333,"gamma1",10,10
