"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"p",0.857990089231738,0.122848336248409,0.544423557375419,0.794740305969265,0.891514335572332,0.953305769812578,0.995770898286365,1.00000497365615,232621,0,1,"p",0.143181532968999,1,6
"p1",0.751451675558749,0.119368740959995,0.485136802357436,0.6760554425744,0.765809170545008,0.841594066923704,0.939488220457988,1.00000749194913,251200,0,1,"p",0.158850854742239,2,6
"p2",0.649936421103408,0.112971218338051,0.416153915219633,0.574317769936254,0.655559120745706,0.731441789609072,0.852379493781782,1.00006938934952,42601,0,1,"p",0.173818876231398,3,6
"p3",0.592682698915513,0.102888252134941,0.384950473465806,0.522943433018208,0.595434100127632,0.665542412426884,0.784173848479452,1.0000237549247,75445,0,1,"p",0.173597529206109,4,6
"p4",0.631162753051793,0.0917112396550256,0.443619896873626,0.569966837928026,0.634623830046883,0.696101496482827,0.799603198408938,1.00000775841118,160074,0,1,"p",0.145305215194629,5,6
"p5",0.626326267930023,0.0846294954229394,0.454682963825877,0.569787911177316,0.628889135054294,0.685665810732608,0.783639349175762,1.00001104061727,169018,0,1,"p",0.1351204631775,6,6
"p6",0.622511283810235,0.078798714951342,0.463065825315428,0.569837403227247,0.624698134973728,0.677672857384626,0.769801184306998,1.00000417770917,3e+05,0,1,"p",0.126581986544942,7,6
"p7",0.620007712832788,0.0742388869776973,0.469513854669042,0.570293827025187,0.621769438743901,0.67171738610801,0.759613275347369,0.999999700430134,3e+05,0,1,"p",0.119738650731461,8,6
"p8",0.660827126058393,0.0684509210065523,0.520533967632172,0.615584379284214,0.663026449132944,0.708670075464635,0.787891487020817,1.00004607619666,72120,0,1,"p",0.103583703373133,9,6
"p9",0.693567574590268,0.0632876771960599,0.563256481717603,0.651768036083689,0.696008317991083,0.738023723238759,0.809888574027232,1.0000022996948,288863,0,1,"p",0.0912494751985021,10,6
"p10",0.561255265664772,0.207032527700793,0.163190848700845,0.406236585792801,0.568036214534696,0.722418986358286,0.922754437493432,1.00942884187628,219,0,1,"p",0.368874094135358,1,7
"p11",0.618235156328268,0.179396423953022,0.257706302312388,0.489837940937904,0.627299268617677,0.756112450646479,0.927415718122617,1.00075023111578,2663,0,1,"p",0.290175060600674,2,7
"p21",0.584537141226208,0.15966201874854,0.273487991384753,0.470931010359952,0.586289307684041,0.701007684343511,0.88163523574384,1.00040777678376,4861,0,1,"p",0.273142641395909,3,7
"p31",0.610354121888305,0.133337904694923,0.341262984320095,0.518839377077448,0.615017598727442,0.706809334555274,0.85418635547194,1.00000536252224,3e+05,0,1,"p",0.218459906983841,4,7
"p41",0.669918356875763,0.110542701982604,0.438226124188296,0.596476182688966,0.676268976593145,0.750348306398777,0.864870317037697,1.00001617535929,126925,0,1,"p",0.165009214702119,5,7
"p51",0.704234677295274,0.096035231697902,0.501296371672144,0.641242458130097,0.710542420069083,0.773656987026651,0.872834812543125,1.00006697147448,32524,0,1,"p",0.136368223255834,6,7
"p61",0.699640645374365,0.0906889052150609,0.509703779800149,0.639958448302366,0.704401094647985,0.764402802982193,0.862071094077804,1.00044090622196,4518,0,1,"p",0.1296221221775,7,7
