"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",0.0672903861180195,0.995308818755257,-1.88578335189521,-0.603336998155142,0.0690447352083653,0.738803902773427,2.01034043346182,1.00001715034062,3e+05,1,0.527176666666667,"gamma0",1,6
"gamma01",0.0645031739256234,1.00429976947951,-1.90114409738737,-0.615580020161558,0.0647990562800018,0.744214257413668,2.02894062063685,1.00000084696403,3e+05,1,0.525736666666667,"gamma0",2,6
"gamma02",0.0562376511684426,1.00260438101936,-1.90970798636668,-0.619920995329732,0.0544675252077979,0.730861927298416,2.02650881203306,1.00004568282311,61963,1,0.521696666666667,"gamma0",3,6
"gamma03",0.0556269573528,0.996808512762814,-1.8985594045206,-0.61860822757357,0.057024043738083,0.730179056410904,2.0046185558471,1.00000717822834,215803,1,0.522943333333333,"gamma0",4,6
"gamma04",0.0586964880874997,1.00047070647481,-1.90124483572454,-0.617307557153564,0.0595812142238322,0.735451571420919,2.01412733870946,1.00003335933753,66681,1,0.52408,"gamma0",5,6
"gamma05",0.0591859829878755,1.0027859170628,-1.90796851906114,-0.617487439376012,0.0572097217978723,0.737050846758167,2.0267356522553,1.00003487894102,193751,1,0.523103333333333,"gamma0",6,6
"gamma06",0.0647519214459065,0.999098558648968,-1.89756282008237,-0.607845525162122,0.0664134392802,0.741363328735706,2.01365524810809,1.00003174077366,109363,1,0.526336666666667,"gamma0",7,6
"gamma07",0.059862420362,0.997791349352416,-1.89481093091739,-0.613665098010173,0.0607496742705604,0.733254965367624,2.01419293448149,1.00001043965083,3e+05,1,0.52369,"gamma0",8,6
"gamma08",0.068397558051,0.994609903974592,-1.8829801139388,-0.601318284435348,0.0707383051385875,0.739857003710496,2.00935357551793,0.999997913053756,3e+05,1,0.528456666666667,"gamma0",9,6
"gamma09",0.0678315157870467,1.00259560753209,-1.8834267255669,-0.609318770148336,0.0663599114681196,0.745166982217771,2.03825734408241,1.00000985806222,213104,1,0.526623333333333,"gamma0",10,6
"gamma010",-0.046079332189009,0.998083042944423,-1.9914529697259,-0.718589381816472,-0.0475731263468748,0.625289499542056,1.91797552068255,1.0002381344213,8507,1,0.518973333333333,"gamma0",1,7
"gamma011",0.343722213751534,0.906024909150349,-1.3860842768742,-0.272721244874721,0.322789758581637,0.943463400935347,2.16772487416862,1.00045480290046,4586,1,0.642193333333333,"gamma0",2,7
"gamma021",0.509888112535451,1.04248911857274,-1.5359390339222,-0.193086831417214,0.512034392777114,1.21540084201075,2.54674149488721,1.0001448451654,13547,1,0.687796666666667,"gamma0",3,7
"gamma031",0.615653646561037,0.959553681179575,-1.26812389828111,-0.0301054814539972,0.614075367625013,1.25872274293916,2.50822110660946,1.00005845371532,40106,1,0.739883333333333,"gamma0",4,7
"gamma041",0.719735712632439,0.998341101982365,-1.22770413927405,0.0394335575703392,0.71678160896821,1.39570584983031,2.68317808556193,1.00002627311007,143094,1,0.762506666666667,"gamma0",5,7
"gamma051",0.751493489374023,0.983444500042409,-1.16520949758036,0.0857630018666641,0.746393267801637,1.41358564275296,2.69110295303938,1.00000530355749,251962,1,0.777,"gamma0",6,7
"gamma061",0.740882483042729,0.984656969917065,-1.18482194078552,0.0763626559211231,0.738138538171367,1.40368848262564,2.67410075454109,1.00004032769579,45544,1,0.77425,"gamma0",7,7
"gamma071",0.660859399193967,1.03417898137124,-1.35865025668888,-0.0425582228251712,0.657053822567504,1.36011249657514,2.69185537824322,1.00093232006561,2216,1,0.737,"gamma0",8,7
"gamma081",0.68157086285024,0.986883479341769,-1.25286430732841,0.0148031726273669,0.681637516368796,1.34676864346326,2.61149573612841,1.00055977621101,3588,1,0.754576666666667,"gamma0",9,7
"gamma091",0.743551659743015,0.991756679384691,-1.1898438154917,0.0731151545295859,0.740550331995591,1.41201740018821,2.6957250658164,1.00012432513739,23429,1,0.77278,"gamma0",10,7
"gamma012",-0.058926389720136,0.998453020111591,-2.01201716709383,-0.734281619659793,-0.0586004991983531,0.615586693683717,1.89468389933071,1.00054507626323,3672,1,0.523136666666667,"gamma0",1,8
"gamma013",0.545895854265392,0.91879761699178,-1.2570035774994,-0.0743732875242575,0.546652011474967,1.16652571029391,2.34791917495054,1.00020735477172,11299,1,0.723483333333333,"gamma0",2,8
"gamma022",0.706850669367011,1.03983526221354,-1.33508956201595,0.00571300791323313,0.707446960111559,1.40866958871249,2.74357022749392,1.00058405558357,3457,1,0.751696666666667,"gamma0",3,8
