"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",0.0610763965789083,1.00390285749454,-1.90930573005018,-0.613641201253373,0.0638121753497234,0.737986014918112,2.02488470675889,1.00002387705435,133480,1,0.52535,"gamma0",1,6
"gamma01",0.0551249313423677,0.998393091020531,-1.90979656018925,-0.61452793396211,0.0556376767235195,0.728757636987154,2.01073367669435,1.00000677118047,3e+05,1,0.522826666666667,"gamma0",2,6
"gamma02",0.0679509956033958,0.997462796729881,-1.88937282832971,-0.60548701587333,0.0703106494435841,0.740286381387467,2.02360416256988,1.00001998885884,92307,1,0.52783,"gamma0",3,6
"gamma03",0.0663489888249829,1.00195006519845,-1.90691268672115,-0.608408050948497,0.0665261237950855,0.741002567908082,2.03354209643934,1.00004821506628,148150,1,0.5267,"gamma0",4,6
"gamma04",0.0652268278847795,1.0003246265211,-1.90145735184927,-0.609032973335283,0.0636941352758197,0.74116614366256,2.02700440619653,1.00000695501178,267577,1,0.525476666666667,"gamma0",5,6
"gamma05",0.06573102280264,1.000006899026,-1.8918851430573,-0.612090756913061,0.0646059913703788,0.741421844405218,2.02597909936183,1.00003237949846,78597,1,0.525763333333333,"gamma0",6,6
"gamma06",0.0620659051395791,1.00224929728345,-1.90324240801623,-0.61207911187822,0.0611874151921482,0.738500264834601,2.02647886480706,1.00004676929374,42346,1,0.52419,"gamma0",7,6
"gamma07",0.0624549009736679,1.00022357417104,-1.89501737486148,-0.611438978163745,0.0627859514000133,0.739795442778541,2.01852044941022,1.00000712898027,3e+05,1,0.525043333333333,"gamma0",8,6
"gamma08",0.0616792585409162,1.00060962875548,-1.89644862477072,-0.615781555889824,0.0615418411541296,0.73904272913913,2.01603247882489,1.00006137630384,33084,1,0.524413333333333,"gamma0",9,6
"gamma09",0.0579679283071154,1.00053399388703,-1.90624022014884,-0.615549044258237,0.0580686475876239,0.731428796464687,2.02432969762666,1.00001978384376,163267,1,0.523253333333333,"gamma0",10,6
"gamma010",0.0717159911020826,0.995633810401266,-1.87957466605389,-0.597879466655399,0.0724803946822941,0.739703904934652,2.02511404296395,1.00012610364016,15762,1,0.52936,"gamma0",1,7
