"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"p",0.856801797242443,0.124316782552729,0.537918043232207,0.793022762933264,0.89082732515675,0.953226157967724,0.995799132335189,0.999998209012695,3e+05,0,1,"p",0.145093979672818,1,6
"p1",0.665699325042986,0.131118818577025,0.389106219374138,0.578304873993234,0.674795276671099,0.763234343128543,0.890370452966106,1.00002072933529,126148,0,1,"p",0.196964025115331,2,6
"p2",0.646111070504033,0.112996948414357,0.411660256896388,0.57039997595351,0.65186431571468,0.728133234137537,0.847560473450783,1.00001244584392,155740,0,1,"p",0.17488780733351,3,6
"p3",0.589930787948198,0.102790186160112,0.382709172692924,0.520295224900881,0.592693069945448,0.662738134794213,0.780827089069052,1.00002748448879,96630,0,1,"p",0.174241094480965,4,6
"p4",0.591640245066917,0.0927587057288038,0.405021773868144,0.528898740150298,0.594020354053076,0.656702646545866,0.765431877514176,1.0000002538387,3e+05,0,1,"p",0.156782278592817,5,6
"p5",0.59283252758804,0.0853176740145011,0.422247979170269,0.534949765631095,0.594668475114602,0.652810336102151,0.753347298776923,1.00003288521463,3e+05,0,1,"p",0.143915304987766,6,6
"p6",0.594038746317989,0.0795383690318395,0.43393468183452,0.540337592646837,0.595949838717103,0.649473053171557,0.743966871200458,1.00002139379986,140885,0,1,"p",0.1338942443146,7,6
"p7",0.595043615552827,0.0746729509893464,0.445524323256851,0.544844815622386,0.596512611858385,0.646994139413047,0.736286325291033,1.00001744373609,127084,0,1,"p",0.125491559001051,8,6
"p8",0.574343900273664,0.0711106692784848,0.432859772516928,0.526394362738548,0.575293805331943,0.623609257976756,0.710124644463516,1.00001027573448,177650,0,1,"p",0.123812004000742,9,6
"p9",0.557766462824203,0.0680875319178149,0.42297077469298,0.511681416159377,0.558488318066807,0.604556903284621,0.688548387687389,1.00000783605077,174698,0,1,"p",0.122071756650731,10,6
"p10",0.57093589223049,0.174782897075287,0.222489699550511,0.446398678349159,0.577986784141485,0.702427218677213,0.880936830645198,1.00000939009756,143481,0,1,"p",0.306134015138648,1,7
"p11",0.583413397419357,0.136692611517347,0.309730408590146,0.488347085122072,0.588022188374745,0.682931459848525,0.832554177556655,0.999999842878819,3e+05,0,1,"p",0.234298033130516,2,7
"p21",0.58879709584516,0.116244572777314,0.354390074915059,0.509585489615463,0.592602419706776,0.671860196014847,0.80272858873951,1.00002114612916,94701,0,1,"p",0.197427218302523,3,7
"p31",0.545926247425535,0.10392171888589,0.340897827508673,0.47444668293658,0.546944898657527,0.618833855917202,0.743582950718691,1.0000043799383,3e+05,0,1,"p",0.190358531717354,4,7
"p41",0.51944452109394,0.0948007288976289,0.334067513183793,0.454134347119797,0.519912418416425,0.585276587866027,0.702357185930534,0.999998193194568,3e+05,0,1,"p",0.18250405009178,5,7
"p51",0.437592418763323,0.0864443420863145,0.272992285219759,0.377422744694977,0.436332970931495,0.496225399599698,0.609205737536909,1.00002917134042,65114,0,1,"p",0.197545337578321,6,7
"p61",0.459502862627081,0.0810205898743666,0.303517541954252,0.403664116658939,0.459113159229619,0.514458068729186,0.619435597581312,1.00001663611253,98961,0,1,"p",0.176322274492815,7,7
"p71",0.500345187158412,0.0763477296964928,0.351148749550271,0.448315658472169,0.500325047577068,0.552499370244079,0.649254590254779,1.00001980148293,86875,0,1,"p",0.152590115096522,8,7
"p81",0.489472832186642,0.0723642449630514,0.348650100860417,0.439923476464985,0.489343275854554,0.538837542460948,0.630971474348015,1.00000913779355,3e+05,0,1,"p",0.147841187915937,9,7
"p91",0.500290846355854,0.0690597282946764,0.365083120871356,0.453007617283506,0.500295510786008,0.547520743521362,0.635176727833737,1.00001196600327,124305,0,1,"p",0.138039160215925,10,7
"p12",0.548439247971138,0.206993794150297,0.156653657014691,0.393073398391901,0.551898300381922,0.708953617393648,0.917001889636172,1.0036092717304,559,0,1,"p",0.377423379008772,1,8
"p13",0.456032499556667,0.168149630885502,0.148946483966537,0.331736256747088,0.451685635477945,0.576468978660582,0.78543462190617,1.00002703273883,63952,0,1,"p",0.368722911303402,2,8
"p22",0.566947245102163,0.145227770414547,0.280464946804269,0.4650660015485,0.569859775155116,0.672036476352361,0.836041773121125,1.00008196048348,26155,0,1,"p",0.256157467329041,3,8
"p32",0.502546983476223,0.135868318415542,0.246006661867253,0.405624432559751,0.500588078189449,0.597858811186207,0.768423939134965,1.0005817722757,3503,0,1,"p",0.270359434804906,4,8
"p42",0.530864112711807,0.115693715464485,0.304277435122951,0.450899510746792,0.531981119824345,0.612255259686654,0.751356183082546,0.999998099100007,3e+05,0,1,"p",0.217934708137433,5,8
"p52",0.590015042250693,0.101177571170338,0.385943818689773,0.521296584877998,0.592883967386199,0.661375196202028,0.778758243861049,0.999999141270974,3e+05,0,1,"p",0.171483036744932,6,8
"p62",0.555694147278777,0.0928040223906516,0.371267441987999,0.492375686220354,0.557116798615448,0.620514617768253,0.732465734212892,1.00003260732178,59388,0,1,"p",0.167005578239596,7,8
"p72",0.593081480806204,0.0845678461453526,0.422478166344426,0.536401021257442,0.595137329197828,0.652000202890025,0.752398919463157,1.00001743658728,111316,0,1,"p",0.142590603285059,8,8
"p82",0.594052932202482,0.0791401515620886,0.434938424297647,0.540651317607624,0.595863367854643,0.649254683331174,0.743025346654025,0.999999319142736,3e+05,0,1,"p",0.133220706896728,9,8
