"","sim1","sim2","sim3","sim4","sim5"
"1",0,0,0.509090909090909,0.272727272727273,0
"2",0,0,0,0,0
"3",0,0,0,0,0
"4",0,0,0,0,0
"5",0,0,0,0,0
"6",0,0,0,0,0
"7",0,0,0,0,0
"8",0,0,0,0,0.0181818181818182
"9",0,0,0,0,0
"10",0,0,0,0,0
