"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",0.0439501175763237,0.991528150703701,-1.90773116076532,-0.625288272795504,0.0492255770965966,0.715157454804848,1.97063023587019,1.00012881490039,26279,1,0.519583333333333,"gamma0",1,1
"gamma01",0.0438588202471319,1.00556613870827,-1.91885785248261,-0.635898084271171,0.0431990302359142,0.718854122077723,2.0263350830371,1.00000301238942,3e+05,1,0.51696,"gamma0",2,1
"gamma02",0.0398041246346894,0.999796803529965,-1.9226928535496,-0.629781883312156,0.0399208439015631,0.711635483566811,2.00876117718383,1.00004332613234,88846,1,0.516146666666667,"gamma0",3,1
"gamma03",0.0365096980449361,0.998430539876553,-1.91272783693608,-0.638644772287019,0.0355699051755827,0.709791382425973,1.99624525332664,1.00004187994639,183064,1,0.514093333333333,"gamma0",4,1
"gamma04",0.0407037117998389,0.99933568849608,-1.91240276379922,-0.634198897053728,0.0401954700858412,0.715523245468421,1.99849071784664,1.00001166743908,198446,1,0.515943333333333,"gamma0",5,1
"gamma05",0.017967144113585,1.00694393628871,-1.95931722025777,-0.661964172991648,0.0202108724993585,0.698288471262973,1.98428443298456,1.00008752981417,24974,1,0.50783,"gamma0",6,1
"gamma06",0.0298394995882393,0.995142678341329,-1.92152715837015,-0.638799979001464,0.029651701236436,0.703509185570081,1.97635295294684,0.999997082953844,3e+05,1,0.512056666666667,"gamma0",7,1
"gamma07",0.0203854681921838,1.00565646187193,-1.95934183480068,-0.654563007443015,0.0225825076925986,0.694377986471935,1.99287225581447,1.0002097655623,9826,1,0.508953333333333,"gamma0",8,1
"gamma08",0.0227879424676287,0.995264274766468,-1.92172148204186,-0.64945869950248,0.021847176347635,0.692012054805527,1.97442527077671,1.00001951975162,86235,1,0.50869,"gamma0",9,1
"gamma09",0.0321313410433989,1.00350208293234,-1.92755069785616,-0.643309107821493,0.028799555638199,0.710185306223336,2.0004324581275,1.00003683267431,83632,1,0.511513333333333,"gamma0",10,1
"gamma010",0.0541260815043149,0.999109740055465,-1.89546635551961,-0.622114431800692,0.0532431776465377,0.728347974304391,2.02207539472159,1.00001797386873,191968,1,0.52149,"gamma0",1,2
"gamma011",0.0546000684847515,1.00160716437922,-1.91208321421941,-0.620175057377423,0.0559671857149238,0.729860859150885,2.00870894367729,1.00000518518888,3e+05,1,0.522116666666667,"gamma0",2,2
"gamma021",0.0356516532765,1.00060617004618,-1.93300713797247,-0.638159906691089,0.0365876610211509,0.710202202831721,1.99339745451179,1.0003793549469,5587,1,0.514746666666667,"gamma0",3,2
"gamma031",0.0353601337212009,1.00139538880662,-1.92561729248354,-0.642388575376718,0.0358946617301935,0.712854934349257,1.99113241068509,1.00001796262402,3e+05,1,0.514393333333333,"gamma0",4,2
"gamma041",0.0421761869090279,1.00108459509501,-1.91710921944325,-0.629924839707574,0.0414744777308116,0.714993193966332,2.00482950754715,1.00004514153343,117852,1,0.516846666666667,"gamma0",5,2
"gamma051",0.0419440032733818,0.995048314257094,-1.91096472818442,-0.628847328097949,0.0438631310924025,0.71289168879581,1.99368209549098,1.00003531901322,62840,1,0.517806666666667,"gamma0",6,2
"gamma061",0.0551484482284001,1.00256736366543,-1.91030063701126,-0.621860462607599,0.0536033979074607,0.733874722050407,2.02248322014271,1.00003525609428,66406,1,0.521426666666667,"gamma0",7,2
"gamma071",0.0585063711229737,0.996252654490363,-1.90413587883789,-0.611379201684752,0.0614277956049592,0.732826687184549,2.00128962076166,1.00002502512431,68932,1,0.524503333333333,"gamma0",8,2
"gamma081",0.0649308103898178,1.00286165018069,-1.89192921840651,-0.613565782990858,0.0640994081090095,0.741428264152105,2.03693643499967,1.00001205784265,199710,1,0.524783333333333,"gamma0",9,2
"gamma091",0.0664622952630825,0.995869249443501,-1.90171619023812,-0.601699460429138,0.0688984836573349,0.735318250560223,2.01583473572263,1.00000118097441,3e+05,1,0.5277,"gamma0",10,2
"gamma012",0.0585582912197773,1.00310162229295,-1.90340411660942,-0.616467090900819,0.0587356575012265,0.73728811075712,2.02830335136992,1.00007310010916,26673,1,0.523026666666667,"gamma0",1,3
"gamma013",0.0619282197243697,0.998310862961266,-1.89655833471949,-0.61214569143385,0.0602916149807069,0.738161769705517,2.01374969097587,1.00005173862377,53013,1,0.524046666666667,"gamma0",2,3
"gamma022",0.0529725422742725,1.00624510959252,-1.92107364394484,-0.623899099980253,0.0553936586888753,0.731664506132485,2.01704835053565,1.00018911654316,10458,1,0.52187,"gamma0",3,3
"gamma032",0.0573356795356416,0.991693409106067,-1.88189098818017,-0.613436058618198,0.0549627417698255,0.729089426534927,1.99827194409771,1.00001078499616,290916,1,0.521733333333333,"gamma0",4,3
"gamma042",0.0600252383700007,1.00131699402971,-1.90038151755421,-0.614597853670036,0.060281656049727,0.735986766495782,2.02392769821367,1.00002986642416,61781,1,0.52424,"gamma0",5,3
"gamma052",0.0578435728721568,0.999069658162963,-1.90029885804395,-0.617802976833301,0.0573121950554961,0.732176483553051,2.0245808779432,1.00000202204875,3e+05,1,0.52298,"gamma0",6,3
"gamma062",0.060316068402731,1.00333494450684,-1.91537547252041,-0.613810670959824,0.0615023693802934,0.74022239361209,2.01705576706973,1.00006780015494,28629,1,0.52438,"gamma0",7,3
