"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","cv","year","sim"
"eps",0.494805774132269,0.287733651715182,0.0255696426354977,0.245795434018461,0.491702262680552,0.743051288764472,0.973318296744954,1.00023985028064,8759,0,1,"eps",0.581508274069305,1,1
"eps1",0.496186214451749,0.289826284960538,0.0232429524225145,0.242949281475921,0.497155118788857,0.747335857259851,0.974119845914557,1.00019015001508,10307,0,1,"eps",0.584107894413744,2,1
"eps2",0.49877043124221,0.288260466136566,0.0250504976847692,0.248840654055069,0.498324820375435,0.747950387114462,0.974028721785778,1.00013816510946,26531,0,1,"eps",0.577942171549023,3,1
"eps3",0.492675922890339,0.287088153056335,0.0246696876202702,0.244442841287465,0.489513120917143,0.737642558998386,0.973960835447836,1.00043807785813,4587,0,1,"eps",0.582711960779614,4,1
"eps4",0.488266012172774,0.286467387029989,0.0242785185448968,0.23964685351463,0.482202231283103,0.735132943506675,0.969623383579967,1.00064682214519,3269,0,1,"eps",0.586703517935263,5,1
"eps5",0.485470936535711,0.286283589162525,0.0232041407116244,0.237026041224032,0.480062363997502,0.730259559830994,0.96994041702249,1.00049302936817,4304,0,1,"eps",0.589702838249034,6,1
"eps6",0.488191312817396,0.286272137364241,0.0237056793040894,0.240002985203811,0.483578928990562,0.734107069649495,0.969469214549951,1.00032103420694,6351,0,1,"eps",0.586393345903963,7,1
"eps7",0.487974327709211,0.287082817121315,0.0233282908256791,0.238314552366168,0.483347298266081,0.734751599636152,0.969879494865713,1.00175979317797,1152,0,1,"eps",0.588315410913154,8,1
"eps8",0.485671021828464,0.284817947616146,0.0247791993595313,0.239181022587221,0.479534482034126,0.73023014744932,0.967179737523887,1.00014497930996,14304,0,1,"eps",0.586442128138216,9,1
"eps9",0.487012502902245,0.286640247215885,0.0238100830196331,0.238370205438337,0.483030029826026,0.732960801275569,0.969464209774396,1.00062376607759,3192,0,1,"eps",0.5885685593444,10,1
