"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma1",1.83660701020536,2.1533661251707,-1.35531539930908,0.180654386825069,1.52469262816289,3.17888256457739,6.71125466397579,1.00525099301412,417,1,0.78247,"gamma1",1,1
"gamma11",1.84193562154199,0.679732306542609,0.522142757455227,1.37916580279372,1.8398126962673,2.30139706828052,3.17765006549972,1.00000114969586,3e+05,0,0.996806666666667,"gamma1",2,1
"gamma12",1.86023785552613,1.18163694770035,-0.364885833943215,1.02604392763864,1.84187881528226,2.66636624924327,4.22455386170251,1.0000328067261,102674,1,0.942956666666667,"gamma1",3,1
"gamma13",1.8658228649632,0.912816167010208,0.0926882744839327,1.24435952806714,1.86189652366099,2.48107390050971,3.66645608562956,1.00021157536059,16084,0,0.980663333333333,"gamma1",4,1
"gamma14",1.81647998100492,1.09147681130732,-0.44446989197371,1.11217195159215,1.836192135935,2.54776374408629,3.90688775345721,1.01112064027218,349,1,0.9474,"gamma1",5,1
"gamma15",1.82072050704717,0.957916211793841,-0.0534780419024186,1.17637837429009,1.82020312826309,2.46468814534982,3.69518555247534,1.00007756170864,125676,1,0.971716666666667,"gamma1",6,1
"gamma16",1.82817639043958,1.02160607627939,-0.163359920632902,1.13759169000033,1.82540516690407,2.5163026253375,3.83686920524474,1.0003051116859,7298,1,0.963456666666667,"gamma1",7,1
"gamma17",1.78883656325301,1.02812667507338,-0.356039942169849,1.12097340167939,1.80505083933763,2.48217340481277,3.75944078858041,1.00333813743188,1137,1,0.954136666666667,"gamma1",8,1
"gamma18",1.78929890214304,0.982923964988193,-0.128312902991251,1.12328235027842,1.78973862012266,2.4546393530186,3.70856096261083,1.00041706071759,13613,1,0.966713333333333,"gamma1",9,1
"gamma19",1.76486563339499,1.03472192049263,-0.341324377507581,1.08563532028054,1.77990840739248,2.46125220172258,3.76466691710831,1.00056246985389,5937,1,0.953106666666667,"gamma1",10,1
"gamma110",2.0178402940901,2.07045131146497,-0.782378811983212,0.379380307357707,1.628110678132,3.26307897722701,6.86602219020403,1.00001944665103,3e+05,1,0.834513333333333,"gamma1",1,2
"gamma111",2.01325574830665,0.69575563032335,0.647143705166872,1.54564071348573,2.01285968676674,2.48332304504126,3.37530835138658,1.00000756435373,3e+05,0,0.99792,"gamma1",2,2
"gamma121",2.01694187977527,1.19789323661885,-0.345130505824361,1.2078400796054,2.01619525860306,2.82926145923323,4.35900722999963,1.00015083251849,14706,1,0.95373,"gamma1",3,2
"gamma131",2.03047698373559,0.89644018460478,0.297797870838004,1.41445136772861,2.0229893520661,2.63545866347631,3.8003472349524,1.00010232134098,25117,0,0.990406666666667,"gamma1",4,2
"gamma141",2.04355540144883,1.04359327204659,-0.0104979359686409,1.3356341944218,2.04171284654175,2.74724490303293,4.09949956041651,1.00066766658754,4245,1,0.97441,"gamma1",5,2
"gamma151",2.0432026327773,0.981052303587794,0.101835264240427,1.37942216467748,2.04219889157884,2.70603493944304,3.9669880975043,1.00011097858814,19243,0,0.980686666666667,"gamma1",6,2
"gamma161",2.05037719542284,0.996634369588095,0.133183729968013,1.36683629589947,2.04190728404128,2.72612612355039,4.01923667412218,1.00006681531609,160161,0,0.982796666666667,"gamma1",7,2
"gamma171",2.0481097903974,1.00675971137702,0.0559798323233949,1.36862389382632,2.0512643340775,2.72710437979409,4.0174114621134,1.00034158022508,10083,0,0.97814,"gamma1",8,2
"gamma181",2.05171049691137,0.988103770728566,0.12956041085188,1.37924636509505,2.04734716243496,2.72087201998667,4.0018460535678,1.0001529942492,20976,0,0.982593333333333,"gamma1",9,2
"gamma191",2.05666214170482,1.00630385438246,0.0891517561259676,1.37781011668793,2.05604511775628,2.7334720232643,4.03491519516078,1.00043547224628,11793,0,0.97978,"gamma1",10,2
"gamma112",2.0451529210363,2.04747004130229,-0.77832491583662,0.431521818054667,1.68137670601871,3.28055964088745,6.83730711660067,1.0007497013302,5413,1,0.84749,"gamma1",1,3
"gamma113",2.04608189710397,0.698444006521464,0.681367542879267,1.57465459618706,2.04480835098155,2.51536263670586,3.421805112534,1.00007783220433,69123,0,0.99834,"gamma1",2,3
"gamma122",2.06147059267863,1.19175899967703,-0.285855836237168,1.25869418727475,2.05609184739197,2.8639231250989,4.40972326357303,1.00354737201426,1160,1,0.959426666666667,"gamma1",3,3
"gamma132",2.07627472925926,0.906247988319792,0.320316387389915,1.4574446845442,2.07152290877799,2.68785675311331,3.87201587615053,1.00031404999759,10773,0,0.990316666666667,"gamma1",4,3
"gamma142",2.05795637726189,1.0726162165774,-0.114130573305096,1.3510718240903,2.06584606420744,2.77878374082489,4.13432375169841,1.00115980412082,4102,1,0.969263333333333,"gamma1",5,3
"gamma152",2.05355985002694,0.959201020670648,0.179346433265434,1.40213440731432,2.05359726093006,2.70199994025473,3.93670165344096,1.00061016226896,6512,0,0.98445,"gamma1",6,3
"gamma162",2.0603856371078,1.01782190679955,0.0761917503875321,1.36997954036366,2.0583326047459,2.7500529324478,4.05968884817752,1.00004552960375,49793,0,0.979193333333333,"gamma1",7,3
"gamma172",2.08276171508403,0.969479869283628,0.217712194395518,1.41509717722554,2.0769818087694,2.7376424328403,4.00006766034154,1.00014488651689,19478,0,0.986293333333333,"gamma1",8,3
