"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",0.0448213052738823,0.998981930266846,-1.91678699383047,-0.626106319093377,0.0442580794543089,0.716799578328878,2.00630818127938,1.00008681229402,25015,1,0.517583333333333,"gamma0",1,1
"gamma01",0.0476144501373495,0.998587451399033,-1.91283705783113,-0.625794897338241,0.0489123139816201,0.720592935735013,2.00482479504134,1.00002821794028,100133,1,0.519776666666667,"gamma0",2,1
"gamma02",0.0513603021009234,1.00420056499586,-1.91537981352206,-0.625865682663894,0.0490971159623593,0.725694656639827,2.02501212160921,1.00011112611006,103660,1,0.519586666666667,"gamma0",3,1
"gamma03",0.0518578917114676,0.996060572724992,-1.89624298195608,-0.623503458648646,0.0488535932489744,0.725062280351143,2.01090827706062,1.00003640486752,88483,1,0.519763333333333,"gamma0",4,1
"gamma04",0.0439667799251788,1.00503131520463,-1.9313245354011,-0.632143318058919,0.0448588771057299,0.724101391049767,2.00965283396215,1.0004642673718,4660,1,0.517933333333333,"gamma0",5,1
"gamma05",0.0448500639480457,0.996188688640024,-1.90951814498758,-0.629349216669947,0.0432982298819532,0.718241926911488,1.99605526519147,1.00000997583279,176149,1,0.51692,"gamma0",6,1
"gamma06",0.0419786802195834,0.999473555660036,-1.91600731194518,-0.632408251337002,0.0435623775330243,0.717717379959104,1.9994332051096,1.00003457767141,81659,1,0.517206666666667,"gamma0",7,1
"gamma07",0.0384693828189379,1.00096372771146,-1.92647371770886,-0.637599905614743,0.0391961325001977,0.71376254332883,1.99771439155245,1.00010768908711,18086,1,0.515593333333333,"gamma0",8,1
"gamma08",0.0384878615324016,1.00284122195555,-1.9296961750718,-0.635120761164591,0.0381544348764307,0.713371160366391,2.00000728165478,0.999997370413487,3e+05,1,0.51483,"gamma0",9,1
"gamma09",0.0302602725957468,1.00093761137956,-1.9422896290729,-0.64249442503508,0.0298832434790585,0.7061496963505,1.98902507171329,1.00003478822887,98182,1,0.511896666666667,"gamma0",10,1
"gamma010",0.0608847546122942,0.994857503507335,-1.89670876705078,-0.608777178738205,0.063826792734463,0.731305200369984,2.01482579483449,1.0001067238242,18086,1,0.525696666666667,"gamma0",1,2
"gamma011",0.0568684615507701,1.00264150563926,-1.91042355502464,-0.62019036822449,0.0571821881674752,0.732880008935356,2.01732935122571,1.00000096817679,3e+05,1,0.522763333333333,"gamma0",2,2
"gamma021",0.058661446868552,0.998871593346734,-1.89935480156776,-0.613342439349893,0.0578415351217629,0.732391423273615,2.01253911652094,1.00001870389228,84583,1,0.523396666666667,"gamma0",3,2
"gamma031",0.0610963491953901,0.99724356409637,-1.89619313327855,-0.611938553119364,0.0631613075965002,0.735359491461935,2.01040430632835,1.00001512770855,164050,1,0.525633333333333,"gamma0",4,2
"gamma041",0.065891747462914,1.00331068415716,-1.89864274386095,-0.611231142624067,0.0685453566325347,0.743023066620906,2.02696808429343,1.00006180157565,34509,1,0.526883333333333,"gamma0",5,2
"gamma051",0.0629610355156805,0.994424691393374,-1.88730069006234,-0.61124023805434,0.0629000985315923,0.73706650055287,2.0079021954837,1.00001659857424,136715,1,0.52516,"gamma0",6,2
"gamma061",0.0658316752463271,0.998953771323669,-1.8942536112357,-0.610023138692765,0.0664706991290572,0.739329973538924,2.02126896302254,1.00000879892849,3e+05,1,0.526776666666667,"gamma0",7,2
"gamma071",0.0651226424066251,0.999141644726648,-1.88490699588511,-0.612123015150984,0.0630702655826071,0.740413437867772,2.02050872804548,1.0000369548713,73653,1,0.525343333333333,"gamma0",8,2
"gamma081",0.0672150788299224,1.00038437422789,-1.89442734204331,-0.609661509273227,0.0638862840273524,0.739181992634014,2.03929133887668,1.00001060283655,149891,1,0.52549,"gamma0",9,2
"gamma091",0.0677215880240132,1.00329450093958,-1.90046599735704,-0.611419890655848,0.0687516144776413,0.745605600338492,2.03067133504919,1.0000535198372,68722,1,0.527203333333333,"gamma0",10,2
"gamma012",0.0457515765519157,1.00145493040009,-1.92363646772314,-0.630074467918166,0.0480013545437399,0.721869642790414,2.00260602757538,1.00003256224376,59318,1,0.519323333333333,"gamma0",1,3
"gamma013",0.0467240964061425,0.999260514204045,-1.90389355952811,-0.629669433592922,0.0493589314172621,0.722580325954437,2.00650891447547,1.00002270776092,109403,1,0.51996,"gamma0",2,3
"gamma022",0.0514011208643132,1.00068373617835,-1.90841353665888,-0.624375090314508,0.0505805358447447,0.728918145004772,2.00628543226539,1.00005220482442,56450,1,0.520033333333333,"gamma0",3,3
"gamma032",0.052390094182915,0.997854012233086,-1.90073850233929,-0.620543501381392,0.0558483884245976,0.723797477043773,2.0107761847001,1.00001227735901,247656,1,0.522073333333333,"gamma0",4,3
"gamma042",0.0465679590015257,1.00290351291348,-1.91643359015451,-0.629903584133647,0.0496824890346897,0.721347262176929,2.01239909090941,1.00011606709625,44010,1,0.519613333333333,"gamma0",5,3
"gamma052",0.047129119881221,0.998664387792969,-1.91538186709939,-0.622952103737798,0.046684416589144,0.716799509097015,2.00128687554352,0.999996329237693,3e+05,1,0.518423333333333,"gamma0",6,3
"gamma062",0.0472301728663996,1.0033652642177,-1.91921429609117,-0.6291853213525,0.0488736228337193,0.723343882335864,2.02155105680375,1.00001255182453,193984,1,0.51929,"gamma0",7,3
"gamma072",0.0503644209626705,0.999815973468882,-1.908771333697,-0.623489826607116,0.0511422475198294,0.722910461266164,2.01437056191798,1.00009972880177,24547,1,0.520566666666667,"gamma0",8,3
"gamma082",0.0528350687016095,0.997736973119584,-1.90663877047617,-0.620267149881615,0.0514841345203927,0.726539844873849,2.0111649693932,1.00000334611994,3e+05,1,0.52102,"gamma0",9,3
"gamma092",0.0541770464523659,1.00380155728291,-1.91688414188632,-0.620039394206152,0.0541867829009888,0.730576718581262,2.02516632324965,1.00009102136998,25369,1,0.52149,"gamma0",10,3
"gamma014",0.0636224193700864,0.997184617915709,-1.88003286146075,-0.611764060714439,0.0581558575714358,0.734621530333666,2.02903456257725,1.0002336802543,9259,1,0.523886666666667,"gamma0",1,4
"gamma015",0.0620840870738065,1.00603876634604,-1.91008501649707,-0.615753637930354,0.0614494677438847,0.743645858121769,2.03298413770623,1.00000761446525,203342,1,0.523653333333333,"gamma0",2,4
"gamma023",0.050311277453094,1.00231896255626,-1.90976766243688,-0.626530773683064,0.0499425987192152,0.725819975434875,2.01374073714514,1.00000794339629,187969,1,0.5201,"gamma0",3,4
"gamma033",0.0496905060471958,0.997279182325478,-1.90896506081428,-0.620236513294701,0.0493865288638046,0.721373601529987,2.0025094652715,1.00002499924273,104562,1,0.519826666666667,"gamma0",4,4
"gamma043",0.0512236505871056,1.0023918220828,-1.91620059195054,-0.626171474314775,0.0528993592379748,0.72954731155606,2.01426546440274,1.00003630586326,57896,1,0.521123333333333,"gamma0",5,4
"gamma053",0.0462504638636802,0.99903363502661,-1.91730307810391,-0.627913330465326,0.0484070773565811,0.721897242898857,2.00304406934252,1.00002190536381,81431,1,0.519446666666667,"gamma0",6,4
"gamma063",0.0415416060169359,1.00093982385251,-1.92191710200405,-0.63481331822554,0.0426939155600015,0.717868312487827,2.00310292229601,1.00002531304375,81050,1,0.51657,"gamma0",7,4
"gamma073",0.0399589896210005,1.00095189983141,-1.92602837539485,-0.63402310646779,0.0391866856960154,0.715864987759957,1.99993320695757,1.00006326478851,30819,1,0.515196666666667,"gamma0",8,4
"gamma083",0.0370596557484016,1.00312331521735,-1.92406299326017,-0.638333343247172,0.0346052178485755,0.714818722095841,2.00521574167565,1.00001265664491,224173,1,0.513913333333333,"gamma0",9,4
"gamma093",0.0320389241949888,1.0006777457433,-1.93066431404718,-0.642581360738795,0.0329523236150787,0.708594141877126,1.98954175120713,1.00002258844327,147590,1,0.51348,"gamma0",10,4
"gamma016",-0.0411919129052445,1.00211513396082,-2.0063313928788,-0.715187538093033,-0.0452086825511353,0.634207515144087,1.92647387547827,1.00002986743097,108226,1,0.517926666666667,"gamma0",1,5
"gamma017",0.572832319679353,0.913364594399335,-1.1967249511532,-0.0481000646378443,0.569891474886504,1.18639887302054,2.37370579762531,1.000447612048,5254,1,0.733033333333333,"gamma0",2,5
"gamma024",0.688987109598176,1.04047889291285,-1.35125106693719,-0.0139023765145129,0.685253740521145,1.39126107835858,2.73781945384474,1.00032594482989,6053,1,0.745656666666667,"gamma0",3,5
"gamma034",0.660532806839588,0.983034799849788,-1.26736608940957,-0.00095866311280951,0.661411084056139,1.32545057459957,2.58424393885229,1.0000448659726,41754,1,0.749696666666667,"gamma0",4,5
"gamma044",0.66337213216305,1.00552403015382,-1.29473825480557,-0.0182565074900833,0.664470937825625,1.33984073801607,2.65167199832422,1.00043915067439,4617,1,0.74432,"gamma0",5,5
"gamma054",0.665051912059532,1.00040541273791,-1.29880649082046,-0.00701417061775692,0.665966310920715,1.34105236456982,2.61543629187506,1.00026321879012,9095,1,0.747846666666667,"gamma0",6,5
"gamma064",0.66250706588917,0.995789175482688,-1.29242402865966,-0.00963070135531771,0.662432128490305,1.33632404115375,2.60727002566646,1.00057346854554,3473,1,0.747073333333333,"gamma0",7,5
"gamma074",0.687210657809018,1.00263347601589,-1.28452846196677,0.0135493091496985,0.688356438958012,1.36254492094859,2.65023960323443,1.00001960252488,136414,1,0.75418,"gamma0",8,5
"gamma084",0.714530655424984,0.996315967850286,-1.23578714135619,0.0412512488260455,0.713405088792334,1.38832331783187,2.66355983181278,1.0001950993817,10032,1,0.76297,"gamma0",9,5
"gamma094",0.707912200792161,1.00270841784851,-1.25251497306122,0.0289456213879535,0.709379096064487,1.38442745694504,2.67227802253305,1.00003433396986,108807,1,0.759216666666667,"gamma0",10,5
