"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma0",-0.000656562237547675,1.00115365215047,-1.96244595560682,-0.676981141181505,0.000760098116618357,0.675404405350547,1.95883942609747,1.00000511258389,207358,1,0.49973,"gamma0",1,1
"gamma01",-0.00248485008589654,0.998816358335659,-1.95580655548197,-0.678107142681549,-0.00431975439677468,0.67236143235978,1.95832581751849,1.00001579057676,96863,1,0.501583333333333,"gamma0",2,1
"gamma02",-0.00283288359775233,1.00301644159514,-1.96853642504746,-0.679454180898965,-0.00235658408238523,0.673548318825574,1.9672685632934,0.999997808942849,3e+05,1,0.500916666666667,"gamma0",3,1
"gamma03",-0.00452498719889836,0.99948450699818,-1.96400606788964,-0.678924154181257,-0.00436406269516281,0.669672835261236,1.95099206420778,1.0000072682955,208686,1,0.501766666666667,"gamma0",4,1
"gamma04",-0.00629331054961728,1.00002468579558,-1.97084838474824,-0.680707521639373,-0.00603086238263131,0.666164343396204,1.95757534700373,0.999997001391246,3e+05,1,0.502473333333333,"gamma0",5,1
"gamma05",-0.00370004232750577,0.999825548797334,-1.9539252253038,-0.680603271520088,-0.00263049536081876,0.671709322361771,1.95772262955488,1.00001750386312,124550,1,0.501113333333333,"gamma0",6,1
"gamma06",-0.00517771662226813,1.00067915120712,-1.96125878019117,-0.679904719219402,-0.00455490934461677,0.669069510877788,1.95999184179478,0.999996984776861,3e+05,1,0.501836666666667,"gamma0",7,1
"gamma07",-0.00335444945580808,1.00123496018186,-1.97126843303499,-0.678819981652103,-0.00262179485223593,0.673742766451315,1.95942615523333,1.00001005234023,161625,1,0.50103,"gamma0",8,1
"gamma08",-0.00436009242069873,0.999246315205347,-1.96340770350835,-0.676739538044296,-0.00431565596425955,0.669589448663819,1.95546065368646,1.00002740930734,74510,1,0.501786666666667,"gamma0",9,1
"gamma09",-0.00420145865788354,0.99983546841615,-1.95964114940012,-0.679300647703792,-0.00372021841158026,0.669839354328748,1.95302977040955,1.00002500339901,94930,1,0.501396666666667,"gamma0",10,1
"gamma010",-0.000545633224672982,0.997095820386007,-1.95700165212006,-0.676328368234232,0.000152052149413639,0.672524442474249,1.95471900914562,0.999997262526934,3e+05,1,0.49996,"gamma0",1,2
"gamma011",0.000503295420074703,1.00011917227369,-1.9587849287491,-0.674955087681236,0.000875582867645233,0.674959954117528,1.96028868936468,1.00000210177371,3e+05,1,0.500373333333333,"gamma0",2,2
"gamma021",-0.00167280703238539,0.999526034221041,-1.96371401958975,-0.674468059067149,0.00102817594147006,0.673891463221568,1.95247685761207,1.00000062925046,3e+05,1,0.499606666666667,"gamma0",3,2
"gamma031",-0.0067451729331197,1.00234471261807,-1.97071948543443,-0.683460118566005,-0.00626500249630381,0.667130266678037,1.95608481599756,0.999999625700587,3e+05,1,0.502453333333333,"gamma0",4,2
"gamma041",-0.00450158640736652,0.998092161618489,-1.96800242398048,-0.677646146973507,-0.0040102186024903,0.669296630677305,1.95031852902988,1.00001596405968,104525,1,0.50156,"gamma0",5,2
"gamma051",-0.00512801481162344,1.00064025671746,-1.96652269798784,-0.679660948681695,-0.00759327813641984,0.67026309650764,1.95842025357254,1.00001856068492,97339,1,0.502983333333333,"gamma0",6,2
"gamma061",-0.00686577803843523,0.998523583577484,-1.96747240267997,-0.681848969101108,-0.00764217688691,0.667383613934024,1.9489075875907,1.00001170768931,168932,1,0.503003333333333,"gamma0",7,2
"gamma071",-0.00834884916593637,1.00088760587761,-1.97466011295488,-0.682023387957772,-0.00744681770785826,0.666876759045134,1.95596012848145,1.00000036098087,3e+05,1,0.502943333333333,"gamma0",8,2
"gamma081",-0.00817969829439487,1.00028684696779,-1.96749802984183,-0.681910821087774,-0.00906300417863401,0.665797820869585,1.95405796166677,0.999996096385847,3e+05,1,0.503563333333333,"gamma0",9,2
"gamma091",-0.00962256928375031,1.00114829493363,-1.97008843363152,-0.685951252576992,-0.0106890471949403,0.665975640304124,1.95331629290444,1.00000526823492,219850,1,0.50415,"gamma0",10,2
"gamma012",0.0017404840818689,0.998159107665383,-1.95644957391687,-0.671008531690694,0.00296048660047072,0.674932865803046,1.95394095151492,1.00000130529656,3e+05,1,0.50119,"gamma0",1,3
"gamma013",0.00383685206651397,1.00099538035681,-1.96097808656744,-0.670447096688707,0.0013937769691151,0.676448783527972,1.97550441322644,0.99999835462765,3e+05,1,0.50058,"gamma0",2,3
"gamma022",0.00454741192069673,1.0009222651533,-1.96148252204807,-0.671486307425673,0.00352676361690053,0.681734224640492,1.96369644200071,1.00002713573991,64947,1,0.50144,"gamma0",3,3
"gamma032",0.00342268730742903,0.999800803733356,-1.95609567161457,-0.668613147475351,0.00273953127354813,0.680773863350338,1.96409462451059,1.00002059057638,78174,1,0.501076666666667,"gamma0",4,3
"gamma042",0.00300362691487266,0.999665922753224,-1.95800027447375,-0.67142884202447,0.00422311731292022,0.67484365667192,1.96300177082875,1.00000654018015,3e+05,1,0.50175,"gamma0",5,3
"gamma052",0.00462111362504012,1.00053118115434,-1.95747130623129,-0.669798754311723,0.0046531194836564,0.680463045392037,1.9612259590625,0.99999905593106,3e+05,1,0.501913333333333,"gamma0",6,3
"gamma062",0.00347676145576715,0.999872508922581,-1.95954760411776,-0.671973808219919,0.0053124061819433,0.677280573689621,1.96440123264936,1.00000598949309,218902,1,0.502143333333333,"gamma0",7,3
"gamma072",0.00577671155290465,1.00197441223845,-1.96075855875352,-0.669846339662508,0.00811274769530594,0.681320830887573,1.96615036564919,0.999999254323482,3e+05,1,0.503166666666667,"gamma0",8,3
"gamma082",0.00450601302280705,0.998178258404062,-1.95050779638099,-0.670233284132426,0.00381018247850891,0.678156371589547,1.95946678903228,0.999998646936315,3e+05,1,0.501606666666667,"gamma0",9,3
"gamma092",0.00583428302433407,1.00091462659362,-1.95548741963459,-0.669554255573263,0.00525721427012526,0.67878647110014,1.97466166343424,0.999998814612908,3e+05,1,0.50214,"gamma0",10,3
"gamma014",-0.0013584805444623,1.00185920004512,-1.96654180126475,-0.676113047215064,-0.00224332507362183,0.674257170184492,1.96014543922685,1.00000264228517,3e+05,1,0.500986666666667,"gamma0",1,4
"gamma015",-0.00211927557651315,0.998262072227736,-1.95941320794957,-0.675201210317022,-0.00127350311644404,0.670599469749257,1.94894999267367,1.00000704766252,3e+05,1,0.500476666666667,"gamma0",2,4
"gamma023",-0.000368462063547303,1.00118196172076,-1.96061452551858,-0.674031271895839,-0.00144119543208456,0.672914895700061,1.96215431291425,1.00001273467719,116186,1,0.5006,"gamma0",3,4
"gamma033",-0.00190580038838067,0.997366959074293,-1.95451804166367,-0.675500021600313,-0.00300770434642638,0.670479482927408,1.95235322816086,0.999998205960685,3e+05,1,0.50114,"gamma0",4,4
"gamma043",-0.00170316684206618,1.00074581929993,-1.96766530927606,-0.678967413890742,0.000311055685744423,0.673883634936631,1.95833207082962,1.0000128724357,140668,1,0.49989,"gamma0",5,4
"gamma053",-0.0019981577474359,1.00101012708459,-1.96755930940114,-0.674305773041727,-0.00102132722418305,0.671044970671169,1.96554746581756,0.999998302043367,3e+05,1,0.500386666666667,"gamma0",6,4
"gamma063",-0.00404119727815201,1.00013418501336,-1.96435085694631,-0.67700423060241,-0.00334919406224045,0.670485842298294,1.95717160190945,1.00001305478424,3e+05,1,0.501433333333333,"gamma0",7,4
"gamma073",-0.00212065050630527,1.0002535881525,-1.96186923061498,-0.677301104812067,-0.00298748522649291,0.674700286889011,1.95608541795779,1.00002712269423,72576,1,0.501126666666667,"gamma0",8,4
"gamma083",-0.0016838989725685,0.999751473799135,-1.95911444806606,-0.674830182624702,-0.001684951697544,0.67449286130127,1.95159079812336,1.00001374839733,135826,1,0.500726666666667,"gamma0",9,4
"gamma093",-0.00204580569716015,0.998661213087147,-1.96874400736944,-0.676082403898539,0.000344178573969062,0.674603333001516,1.94819129138883,1.00004157785225,58939,1,0.499816666666667,"gamma0",10,4
"gamma016",0.000800465938976622,1.00120122620471,-1.96232428414487,-0.674184572028204,1.68749158928862e-05,0.674652513274179,1.96629611484095,1.00000240283025,3e+05,1,0.500013333333333,"gamma0",1,5
"gamma017",0.00209749853065373,0.997554753169559,-1.95627562809112,-0.671085522200571,0.00281226259751369,0.674120842200377,1.95472530362321,1.00000426604371,270876,1,0.501053333333333,"gamma0",2,5
"gamma024",0.00326463770449302,1.00120754238449,-1.96317354045097,-0.670248582988168,0.00432586881094389,0.678337344767464,1.96378044624418,1.00001275957977,126070,1,0.501646666666667,"gamma0",3,5
"gamma034",0.00260463805835806,0.999354310596376,-1.95298437919798,-0.669938508127534,0.00296731023153358,0.677381303718992,1.96097000420276,1.00000638768774,181175,1,0.501223333333333,"gamma0",4,5
"gamma044",0.00131626362615634,0.998658438479366,-1.9519380782325,-0.673645495335895,0.0034827220060616,0.675447344578643,1.95398658596237,0.99999935136137,3e+05,1,0.5013,"gamma0",5,5
"gamma054",0.00373344954274932,0.99874451551189,-1.95399574017573,-0.671155642857965,0.00465657794026743,0.675393205357203,1.9648015222327,1.00001342827033,3e+05,1,0.501923333333333,"gamma0",6,5
"gamma064",0.000699406695610615,0.999988412908281,-1.96135917310572,-0.674557011983227,0.00033457601847567,0.675257256241125,1.96022581314859,1.00001213190701,213112,1,0.50012,"gamma0",7,5
"gamma074",-0.000831198482748365,1.00121286708897,-1.96483327900339,-0.677828417225868,-0.000471941714699982,0.674058765381739,1.9651754919298,0.999996124039752,3e+05,1,0.500196666666667,"gamma0",8,5
"gamma084",-0.00525886890580906,0.998544188165752,-1.96146417702134,-0.679381031018138,0.000314372671395572,0.665836936125223,1.9530858488907,0.999996614149647,3e+05,1,0.499893333333333,"gamma0",9,5
"gamma094",-0.00454032780303611,1.00042357922726,-1.95845614167258,-0.681602607736752,-0.00630985253166696,0.671662935855687,1.95465376688113,1.00000277214408,3e+05,1,0.502503333333333,"gamma0",10,5
