"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f","param","year","sim"
"gamma1",-0.00771907374828403,3.16118572045672,-6.21377924258931,-2.13164716018255,-0.00373273279178182,2.12731827450656,6.18557100156265,1.00000509866029,3e+05,1,0.500443333333333,"gamma1",1,6
"gamma11",-0.0092441675652994,0.562336617968135,-1.11363612423744,-0.387715699959533,-0.0082792735263528,0.369171827987638,1.0935254441838,1.00002332997953,132123,1,0.50589,"gamma1",2,6
"gamma12",-0.0113421335593573,1.33203543841348,-2.62042999645428,-0.912460354584917,-0.0119752236157602,0.889042193650206,2.59846567046467,1.00000196418172,3e+05,1,0.50349,"gamma1",3,6
"gamma13",-0.010642572013043,0.865633362077812,-1.71281385525736,-0.591014884709913,-0.0111886749301153,0.572829784960577,1.6801126118724,1.0000029396288,3e+05,1,0.50512,"gamma1",4,6
"gamma14",-0.011877246260032,1.07719399666374,-2.11872126854351,-0.739994835503022,-0.0134883851981254,0.71306667976203,2.10372234329488,0.999997709657345,3e+05,1,0.505006666666667,"gamma1",5,6
"gamma15",-0.0116700906648636,0.961567986205546,-1.89035597259704,-0.660272499188336,-0.0103345369741093,0.638145008887372,1.87306189971988,0.999998128451731,3e+05,1,0.50421,"gamma1",6,6
"gamma16",-0.0139551048101214,1.01958486006865,-2.01548878920114,-0.700439451998303,-0.0140200369653773,0.673284373057042,1.97511657676804,1.00000155046238,3e+05,1,0.505506666666667,"gamma1",7,6
"gamma17",-0.0113694301579162,0.991843482095438,-1.95755495036888,-0.680515622121335,-0.0115507252235449,0.657675136983258,1.93459329031538,0.999998781259068,3e+05,1,0.504576666666667,"gamma1",8,6
"gamma18",-0.0133849003834376,1.00423546059106,-1.98319218552787,-0.688564968037502,-0.0141533776130436,0.664205071019098,1.95811873073252,0.999999179756584,3e+05,1,0.505383333333333,"gamma1",9,6
"gamma19",-0.0133681263506937,0.998489603798463,-1.97195740389893,-0.685725362050306,-0.0126334693842646,0.660674082907611,1.93814771344399,1.00000769415971,273856,1,0.504983333333333,"gamma1",10,6
"gamma110",-0.001876490966952,3.16692405851574,-6.20971379330087,-2.14551619986203,-0.00244625215833482,2.14130396320867,6.1840930183955,1.00000062422175,3e+05,1,0.500313333333333,"gamma1",1,7
"gamma111",-0.00193357691228022,0.561261572443866,-1.10217794031716,-0.380493381478949,-0.00154650228565361,0.378637797288758,1.09204103640389,1.00000476311547,240786,1,0.50103,"gamma1",2,7
"gamma121",-0.00354530074552315,1.33540240151069,-2.62469694384968,-0.904355190593265,-0.000608525457196662,0.896867809653078,2.6099166213817,1.00000417518066,232198,1,0.500183333333333,"gamma1",3,7
"gamma131",-0.000925878680163331,0.864804035345319,-1.69659171981881,-0.583074903946357,-0.00331755020774944,0.583500214540222,1.6970044133863,1.00003433497353,52975,1,0.501543333333333,"gamma1",4,7
"gamma141",0.00116416021364453,1.07473569132981,-2.1033483301925,-0.72468558382531,0.00126940127666272,0.726885474226935,2.10557875383963,1.00000205421642,292031,1,0.500496666666667,"gamma1",5,7
"gamma151",0.0016603065345951,0.963217611713723,-1.8841494018736,-0.648488137119257,0.000474351075430371,0.653873653565784,1.89160782851809,0.99999677241667,3e+05,1,0.500206666666667,"gamma1",6,7
"gamma161",0.00329401005906931,1.01979186107851,-2.00190621530645,-0.683838014729065,0.0030451345338631,0.692196567609507,2.00067027875405,1.00000224720959,3e+05,1,0.50111,"gamma1",7,7
"gamma171",0.00187543190419823,0.991456764517019,-1.94474662396761,-0.665117572398133,0.00470771137865077,0.669432943306349,1.94687936117944,1.00001009429511,153400,1,0.501916666666667,"gamma1",8,7
"gamma181",0.00211105517608411,1.0068658728925,-1.97163274948179,-0.676419044209853,0.00284037286611408,0.683023201785764,1.97055028968998,1.00002605009324,74557,1,0.5011,"gamma1",9,7
"gamma191",0.00202834429237561,0.99575181925221,-1.94828361550052,-0.668111020134544,0.00422911364407662,0.671884153280408,1.94919605832444,0.99999775703218,3e+05,1,0.50162,"gamma1",10,7
"gamma112",-0.0066877573217192,3.16497323317766,-6.19390651303729,-2.13953618120214,-0.011213339831844,2.12403463014261,6.21513831086191,0.999999819878843,3e+05,1,0.50142,"gamma1",1,8
"gamma113",-0.00619657898996202,0.562596151114052,-1.10878667251967,-0.386473588802451,-0.00587507222573835,0.373738110268249,1.09352730548838,1.00000248152537,3e+05,1,0.50412,"gamma1",2,8
"gamma122",-0.00567700025316214,1.33399546656999,-2.62029260193526,-0.906160039444659,-0.00475865550117471,0.892247284298187,2.6116874521737,1.00000150108806,3e+05,1,0.501383333333333,"gamma1",3,8
"gamma132",-0.00339198001017956,0.865424502786334,-1.69582184339674,-0.586677796680344,-0.00333932139146872,0.580174191020478,1.69493554778282,1.00001584198743,106169,1,0.501546666666667,"gamma1",4,8
"gamma142",-0.00726431959933999,1.0738123180424,-2.11476994428251,-0.729853028586803,-0.00603036209009837,0.715629816156836,2.09884952939743,1.00001902477012,162686,1,0.502236666666667,"gamma1",5,8
"gamma152",-0.00579225802980353,0.964593144789657,-1.89753138042204,-0.656549604572377,-0.00468334919441678,0.646580708630494,1.88608112311034,1.00000279167788,268946,1,0.502016666666667,"gamma1",6,8
"gamma162",-0.00756928298812489,1.01732386248924,-1.98986139041923,-0.695114582080363,-0.00944033431397759,0.676745736270019,1.99410298421965,1.00002543445435,79784,1,0.50366,"gamma1",7,8
"gamma172",-0.00762748544936494,0.991083318976389,-1.95190652988792,-0.677323150401857,-0.00670168241929542,0.662328698444747,1.92583494006215,0.999998737005386,3e+05,1,0.5028,"gamma1",8,8
"gamma182",-0.005736517790513,1.00534132377877,-1.97638415258964,-0.685155363269368,-0.00471939006179289,0.673728470001443,1.95893245699252,0.999996846403938,3e+05,1,0.501746666666667,"gamma1",9,8
"gamma192",-0.003252586025644,0.99788533056057,-1.95819049612105,-0.675464634492887,-0.00299160583863272,0.670359643137228,1.9526557077893,1.00001373003878,118376,1,0.501126666666667,"gamma1",10,8
"gamma114",-0.0049155125291823,3.16676449390926,-6.21569270318045,-2.14279534435057,-0.00340340611073628,2.13718054456844,6.19002729196474,0.999998419202141,3e+05,1,0.50045,"gamma1",1,9
"gamma115",-0.00370866837872019,0.562872918740644,-1.10699773572842,-0.383984543861502,-0.00231133805176204,0.375659950727351,1.10218104816777,0.999998899386129,3e+05,1,0.501643333333333,"gamma1",2,9
